,Time
1,0.07978940010070801
2,0.10472393035888672
3,0.06286168098449707
4,0.07379984855651855
5,0.06183648109436035
6,0.058838605880737305
7,0.0747687816619873
8,0.15960907936096191
9,0.05883955955505371
10,0.08873629570007324
11,0.1336357593536377
12,0.07283830642700195
13,0.10468721389770508
14,0.16156768798828125
15,0.1246945858001709
16,0.12663531303405762
17,0.06285691261291504
18,0.06981754302978516
19,0.05784201622009277
20,0.05685234069824219
21,0.06681704521179199
22,0.1036982536315918
23,0.12466645240783691
24,0.06083488464355469
25,0.0578455924987793
26,0.05684804916381836
27,0.056847333908081055
28,0.06286430358886719
29,0.0637967586517334
30,0.06682085990905762
31,0.071807861328125
32,0.08078408241271973
33,0.06283140182495117
34,0.06186366081237793
35,0.05984783172607422
36,0.05983543395996094
37,0.057813405990600586
38,0.06283187866210938
39,0.0608372688293457
40,0.05887246131896973
41,0.06283116340637207
42,0.05884242057800293
43,0.058841705322265625
44,0.06382989883422852
45,0.05884504318237305
46,0.05685162544250488
47,0.056847333908081055
48,0.06981182098388672
49,0.06183028221130371
50,0.05984783172607422
